state/ut,age-group-male,ratio-of-1-male,age-group-female,ratio-of-1-female
INDIA,5-9,0.8768207300383077,5-9,0.8765852252915584
JAMMU & KASHMIR,5-9,0.685737355018224,5-9,0.6965429110508077
HIMACHAL PRADESH,5-9,0.8871304867124514,5-9,0.8895502645502645
PUNJAB,5-9,0.8011641860300749,5-9,0.802786548717713
CHANDIGARH,5-9,0.7139376713024058,5-9,0.7254345597176852
UTTARAKHAND,5-9,0.9036843580355565,5-9,0.9035662285258171
HARYANA,5-9,0.9061053705829826,5-9,0.9079154731607586
NCT OF DELHI,5-9,0.8445882816728894,5-9,0.8445062527866833
RAJASTHAN,5-9,0.9399054632528371,5-9,0.9410082019310942
UTTAR PRADESH,5-9,0.9540134506828546,5-9,0.9531543546201945
BIHAR,5-9,0.8798163347788371,5-9,0.8801317915479153
SIKKIM,5-9,0.6258365867261573,5-9,0.6192926045016077
ARUNACHAL PRADESH,5-9,0.5356809190417421,5-9,0.5390410309864494
NAGALAND,5-9,0.6729798503070943,5-9,0.6700458862447978
MANIPUR,5-9,0.8140298866231321,5-9,0.8134891183725976
MIZORAM,5-9,0.8952878706919584,5-9,0.89860103626943
TRIPURA,5-9,0.8035017763893799,5-9,0.8056224802353597
MEGHALAYA,5-9,0.9102512842574082,5-9,0.9064860096974379
ASSAM,5-9,0.7374605972499177,5-9,0.735775115319797
WEST BENGAL,5-9,0.9285753076471217,5-9,0.9298452560452052
JHARKHAND,5-9,0.7961710749292098,5-9,0.7966851534189273
ODISHA,5-9,0.8388573752277207,5-9,0.8377268050279754
CHHATTISGARH,5-9,0.8991481248562225,5-9,0.9038849793936423
MADHYA PRADESH,5-9,0.9225506317967428,5-9,0.9195690819917902
GUJARAT,5-9,0.8674152803814994,5-9,0.8711657596509973
DAMAN & DIU,5-9,0.7687220187220187,5-9,0.7761004839824844
DADRA & NAGAR HAVELI,5-9,0.5514979799569757,5-9,0.5495636998254799
MAHARASHTRA,5-9,0.768406912316825,5-9,0.7696152291115281
ANDHRA PRADESH,5-9,0.8644640806638021,5-9,0.8656406795194402
KARNATAKA,5-9,0.750905375889523,5-9,0.750633340655342
GOA,5-9,0.4792398302604624,5-9,0.4752417342482845
LAKSHADWEEP,5-9,0.9692028985507246,5-9,0.9743105402342275
KERALA,5-9,0.9518834552137447,5-9,0.9507325536255453
TAMIL NADU,5-9,0.8578160855443477,5-9,0.8561157527402238
PUDUCHERRY,5-9,0.8872970771156635,5-9,0.8876214093821038
ANDAMAN & NICOBAR ISLANDS,5-9,0.5416451779267664,5-9,0.5324588408512917
