state-code,urban-percentage,rural-percentage,p-value
0,26.97,15.26,0.33240738789033075
1,34.32,31.93,0.5689967277343173
2,28.28,11.35,0.27958068859592783
3,22.63,16.45,0.5236891340259475
4,24.41,25.42,0.5920836332028827
5,26.41,10.87,0.26386845577225765
6,25.58,13.29,0.27079068263655987
7,32.78,22.25,0.39906995838486314
8,16.59,7.06,0.23660086735709487
9,23.91,6.21,0.2171387500297831
10,20.51,13.72,0.3161816705007192
11,33.56,34.15,0.8288549720438244
12,31.9,34.34,0.8679294567952576
13,33.78,35.48,0.7477930060072061
14,22.78,28.78,0.7457949238509409
15,26.52,20.0,0.33264603755210753
16,19.01,32.71,0.5840667086626801
17,33.08,14.78,0.3474292715191387
18,29.46,32.87,0.5569001503327622
19,20.07,10.14,0.356352727784471
20,29.64,24.17,0.39608668117281787
21,23.27,19.07,0.4679623553712977
22,17.93,9.68,0.3034762297935385
23,18.86,9.07,0.26170060267784323
24,34.59,24.26,0.4294518764772717
25,33.38,34.75,0.6387742931409113
26,35.36,38.6,0.8649336987406011
27,38.15,29.74,0.4904343459936864
28,23.88,15.08,0.35914705500183197
29,32.7,23.2,0.42873022557348406
30,25.79,27.38,0.7214047821843965
31,14.05,10.61,0.38691627151461017
32,15.82,14.04,0.38153786722509153
33,29.92,20.2,0.3651525371087446
34,28.69,19.22,0.3931570062031351
35,48.96,48.28,0.7208455633648518
